id,name,latitude,longitude,prefecture,line_name
fcf68bd2-6518-42a4-ac2f-423b1d9ff67d,手稲,43.120238,141.243785,北海道,JR函館本線(小樽～旭川)
344de5c4-0b37-4c1b-a0eb-5316374b492f,稲積公園,43.112023,141.257113,北海道,JR函館本線(小樽～旭川)
4342b2a5-b2b6-4e73-a765-2bdefa9c7053,発寒,43.099819,141.277273,北海道,JR函館本線(小樽～旭川)
7e5d8039-bc8a-4e37-a57d-a82356f16528,発寒中央,43.089271,141.294497,北海道,JR函館本線(小樽～旭川)
91e78eb0-3656-442d-be0f-9c51bf026a9a,琴似,43.081599,141.307418,北海道,JR函館本線(小樽～旭川)
02fa6a09-cddf-47a8-b80a-2621fc532aba,桑園,43.070744,141.332036,北海道,JR函館本線(小樽～旭川)
6e2d28cb-da09-4e7a-b6d2-2d0432ead54c,札幌,43.068612,141.350768,北海道,JR函館本線(小樽～旭川)
23ba7c08-7710-4f8c-9282-a12600364f04,苗穂,43.068574,141.377522,北海道,JR函館本線(小樽～旭川)
e87d186f-5882-4e58-ba5a-399a0c0631a3,白石,43.054715,141.413612,北海道,JR函館本線(小樽～旭川)
a081a1d8-163c-438d-9c95-dc8bcd4482cf,厚別,43.045154,141.46369,北海道,JR函館本線(小樽～旭川)
636c1f89-bacd-440d-812b-0a6e4886c166,森林公園,43.056456,141.481332,北海道,JR函館本線(小樽～旭川)
ca97f2c1-935a-4828-8d3e-20af9f29ba95,大麻,43.072382,141.496925,北海道,JR函館本線(小樽～旭川)
fd8a39d1-4e34-4b60-ad09-1ed0a422a0f3,野幌,43.092559,141.52984,北海道,JR函館本線(小樽～旭川)
0ef28982-1636-4c1a-9080-aa564acd5370,高砂,43.100084,141.540752,北海道,JR函館本線(小樽～旭川)
fbb52598-c945-4919-b725-657ab4120513,江別,43.110189,141.55679,北海道,JR函館本線(小樽～旭川)
38cfec39-eca0-4530-b226-876f690f5169,豊幌,43.136446,141.62466,北海道,JR函館本線(小樽～旭川)
55b1f192-cd7d-41ac-ba6d-1c630adb6f3a,幌向,43.151348,141.655839,北海道,JR函館本線(小樽～旭川)
c7b85816-de03-4149-a9c2-e6302c7f85cb,上幌向,43.18183,141.715391,北海道,JR函館本線(小樽～旭川)
2e116d3b-2bcb-4534-a032-b02cf2119733,岩見沢,43.204201,141.759359,北海道,JR函館本線(小樽～旭川)
fc7e8dca-bbec-4e3f-a185-e021afff385a,峰延,43.264694,141.814673,北海道,JR函館本線(小樽～旭川)
06916dab-a65b-45bb-a0b2-4334df00d9e8,光珠内,43.292658,141.844655,北海道,JR函館本線(小樽～旭川)
305b01c4-0eb0-45de-af44-8e6732018fd9,美唄,43.330751,141.862157,北海道,JR函館本線(小樽～旭川)
80358981-fc6b-4680-9f61-da03b714f870,茶志内,43.369842,141.87336,北海道,JR函館本線(小樽～旭川)
2dc5bc82-9ca8-4db3-9f70-8ca8127c2402,奈井江,43.423718,141.889115,北海道,JR函館本線(小樽～旭川)
db572fd5-0034-46b0-84d8-1dfe0b51dfdb,豊沼,43.464224,141.901032,北海道,JR函館本線(小樽～旭川)
76dac193-1a3b-44ea-a539-8e12ccd01cfb,砂川,43.493468,141.909642,北海道,JR函館本線(小樽～旭川)
62d1ed03-53f4-438b-8d31-18b048e0cb9b,滝川,43.555278,141.900807,北海道,JR函館本線(小樽～旭川)
67a8a58f-bae5-46e1-9e00-a34e92d570e2,江部乙,43.627564,141.935937,北海道,JR函館本線(小樽～旭川)
0dae0404-e68e-493b-b62d-0622798941cb,妹背牛,43.690841,141.966591,北海道,JR函館本線(小樽～旭川)
df7edc12-a61e-48ce-9e19-a853cef7e0a6,深川,43.721021,142.041642,北海道,JR函館本線(小樽～旭川)
4aeff551-9cd6-484a-a434-c8c58400d270,納内,43.732509,142.130072,北海道,JR函館本線(小樽～旭川)
262c76e8-ac32-4066-9604-95d34342dd1c,伊納,43.763305,142.27167,北海道,JR函館本線(小樽～旭川)
6b17d627-fb1f-4b66-802c-4987d7585769,近文,43.789193,142.325327,北海道,JR函館本線(小樽～旭川)
daf5d729-e29d-4146-9717-243a23350219,旭川,43.763492,142.357803,北海道,JR函館本線(小樽～旭川)
610b800e-ad63-4c22-9d7a-99e5e08d5074,長万部,42.512477,140.37507,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
046aef3e-2e41-45e1-bd48-035f45fb2dfd,静狩,42.584065,140.460025,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
7d5972f2-4ce6-4316-82d6-3942004510e9,小幌,42.589731,140.537361,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
2de40399-53c4-44f8-a4b7-117ced8c5062,礼文,42.580422,140.595013,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
092a132f-4767-45a5-85c0-4dc5f1dd991a,大岸,42.585969,140.639036,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
b0afaaf9-2e30-45b2-acb9-bbbbea81d01a,豊浦,42.580323,140.71536,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
06fd8093-0ae3-45fe-b39a-0a654a25cc10,洞爺,42.55055,140.763959,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
d2f574aa-cc7c-420f-acd4-a4ef3d24cf76,有珠,42.513267,140.793969,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
aec5681e-833e-4c8c-aff7-b3a575588d18,長和,42.488262,140.833783,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
c1ad6a64-7543-4432-aff5-0303e0a7a23e,伊達紋別,42.469395,140.855802,北海道,JR室蘭本線(長万部・室蘭～苫小牧)
